,"ukr","en","NOTES – use \n for newline","max length"
"mat_rock_static_intro_breakable","rock","rock",,
"mat_ice_blood_static","frozen blood","frozen blood",,
"mat_ice_acid_static","frozen acid","frozen acid",,
"mat_ice_cold_static","ice","ice",,
"mat_ice_radioactive_static","toxic ice","toxic ice",,
"mat_ice_meteor_static","ice","ice",,
"mat_tubematerial","neon tube","neon tube",,
"mat_glass_static","glass","glass",,
"mat_waterrock","rock","rock",,
"mat_ice_glass","ice","ice",,
"mat_tube_physics","neon tube","neon tube",,
"mat_ice_acid_glass","frozen acid","frozen acid",,
"mat_ice_cold_glass","ice","ice",,
"mat_ice_radioactive_glass","toxic ice","toxic ice",,
"mat_ice_glass_b2","ice","ice",,
"mat_glass_brittle","brittle glass","brittle glass",,
"mat_snowrock_static","frozen rock","frozen rock",,
"mat_concrete_static","concrete","concrete",,
"mat_wood_static","wood","wood",,
"mat_wood_static_wet","damp wood","damp wood",,
"mat_creepy_liquid_emitter","brick wall","brick wall",,
"mat_gold_static","gold vein","gold vein",,
"mat_gold_static_dark","vibrant gold vein","vibrant gold vein",,
"mat_wood_static_vertical","wood","wood",,
"mat_wood_static_gas","pressurized wood","pressurized wood",,
"mat_corruption_static","corrupted rock","corrupted rock",,
"mat_smoke","smoke","smoke",,
"mat_smoke_explosion","smoke","smoke",,
"mat_steam","steam","steam",,
"mat_acid_gas","flammable gas","flammable gas",,
"mat_acid_gas_static","flammable gas","flammable gas",,
"mat_smoke_static","smoke","smoke",,
"mat_poison_gas","poison gas","poison gas",,
"mat_fungal_gas","fungal gas","fungal gas",,
"mat_blood_cold_vapour","freezing vapour","freezing vapour",,
"mat_sand_herb_vapour","funky vapour","funky vapour",,
"mat_radioactive_gas","toxic gas","toxic gas",,
"mat_radioactive_gas_static","toxic gas","toxic gas",,
"mat_water","Water","Water",,
"mat_water_fading","Water","Water",,
"mat_water_salt","brine","brine",,
"mat_water_temp","Water","Water",,
"mat_water_ice","chilly water","chilly water",,
"mat_water_swamp","swamp","swamp",,
"mat_oil","oil","oil",,
"mat_liquid_fire_weak","liquid fire","liquid fire",,
"mat_alcohol","whiskey","whiskey",,
"mat_midas_precursor","alchemic precursor","alchemic precursor",,
"mat_midas","draught of midas","draught of midas",,
"mat_magic_liquid","gate-opener","gate-opener",,
"mat_magic_liquid_teleportation","teleportatium","teleportatium",,
"mat_magic_liquid_hp_regeneration","healthium","healthium",,
"mat_magic_liquid_hp_regeneration_unstable","lively concoction","lively concoction",,
"mat_magic_liquid_polymorph","polymorphine","polymorphine",,
"mat_magic_liquid_random_polymorph","chaotic polymorphine","chaotic polymorphine",,
"mat_magic_liquid_berserk","berserkium","berserkium",,
"mat_magic_liquid_charm","pheromone","pheromone",,
"mat_magic_liquid_invisibility","invisiblium","invisiblium",,
"mat_cloud","cloud","cloud",,
"mat_cloud_radioactive","toxic mist","toxic mist",,
"mat_cloud_alcohol","alcohol mist","alcohol mist",,
"mat_cloud_blood","blood mist","blood mist",,
"mat_cloud_slime","slime mist","slime mist",,
"mat_swamp","swamp","swamp",,
"mat_mud","mud","mud",,
"mat_blood_fading_slow","fungal blood","fungal blood",,
"mat_blood_worm","worm blood","worm blood",,
"mat_blood_cold","freezing liquid","freezing liquid",,
"mat_radioactive_liquid","toxic sludge","toxic sludge",,
"mat_radioactive_liquid_fading","toxic sludge","toxic sludge",,
"mat_plasma_fading","magical liquid","magical liquid",,
"mat_plasma_fading_green","magical liquid","magical liquid",,
"mat_plasma_fading_pink","magical liquid","magical liquid",,
"mat_gold_molten","molten gold","molten gold",,
"mat_steel_static_molten","molten steel","molten steel",,
"mat_steelmoss_slanted_molten","molten steel","molten steel",,
"mat_steelmoss_static_molten","molten steel","molten steel",,
"mat_steelsmoke_static_molten","molten steel","molten steel",,
"mat_metal_molten","molten metal","molten metal",,
"mat_metal_rust_molten","molten metal","molten metal",,
"mat_metal_nohit_molten","molten metal","molten metal",,
"mat_aluminium_molten","molten aluminium","molten aluminium",,
"mat_aluminium_robot_molten","molten aluminium","molten aluminium",,
"mat_metal_prop_molten","molten metal","molten metal",,
"mat_steel_rust_molten","molten steel","molten steel",,
"mat_aluminium_oxide_molten","molten aluminium","molten aluminium",,
"mat_wax_molten","molten wax","molten wax",,
"mat_silver_molten","molten silver","molten silver",,
"mat_copper_molten","molten copper","molten copper",,
"mat_brass_molten","molten brass","molten brass",,
"mat_glass_molten","molten glass","molten glass",,
"mat_glass_broken_molten","molten glass","molten glass",,
"mat_steel_molten","molten metal","molten metal",,
"mat_creepy_liquid","creepy liquid","creepy liquid",,
"mat_cement","cement","cement",,
"mat_sand","sand","sand",,
"mat_sand_blue","blue sand","blue sand",,
"mat_lavasand","volcanic sand","volcanic sand",,
"mat_bone","bone dust","bone dust",,
"mat_soil","soil","soil",,
"mat_soil_dead","barren soil","barren soil",,
"mat_sandstone","sandstone","sandstone",,
"mat_fungisoil","fungal soil","fungal soil",,
"mat_honey","honey","honey",,
"mat_pea_soup","pea soup","pea soup",,
"mat_endslime","hell slime","hell slime",,
"mat_endslime_blood","hell slime","hell slime",,
"mat_explosion_dirt","dirt","dirt",,
"mat_vine","vine","vine",,
"mat_root","vine","vine",,
"mat_snow","snow","snow",,
"mat_rotten_meat","rotten meat","rotten meat",,
"mat_meat_slime_sand","slimy meat","slimy meat",,
"mat_meat_slime_green","green slimy meat","green slimy meat",,
"mat_meat_slime_orange","slimy meat","slimy meat",,
"mat_rotten_meat_radioactive","toxic meat","toxic meat",,
"mat_meat_worm","worm meat","worm meat",,
"mat_ice","ice","ice",,
"mat_wax","wax","wax",,
"mat_gold","gold","gold",,
"mat_gold_radioactive","toxic gold","toxic gold",,
"mat_copper","copper","copper",,
"mat_silver","silver","silver",,
"mat_coal","coal","coal",,
"mat_brass","brass","brass",,
"mat_burning_powder","burning powder","burning powder",,
"mat_sodium_unstable","wet sodium","wet sodium",,
"mat_gunpowder","gunpowder","gunpowder",,
"mat_gunpowder_tnt","gunpowder","gunpowder",,
"mat_gunpowder_unstable","gunpowder","gunpowder",,
"mat_gunpowder_unstable_boss_limbs","slimy meat","slimy meat",,
"mat_plastic_red","plastic","plastic",,
"mat_plastic_red_molten","molten plastic","molten plastic",,
"mat_plastic_molten","molten plastic","molten plastic",,
"mat_plastic_prop_molten","molten plastic","molten plastic",,
"mat_grass","grass","grass",,
"mat_moss","moss","moss",,
"mat_moss_rust","rusty moss","rusty moss",,
"mat_fungi_green","fungus","fungus",,
"mat_spore","seed","seed",,
"mat_plant_material_red","seed","seed",,
"mat_ceiling_plant_material","seed","seed",,
"mat_mushroom_seed","fungal spore","fungal spore",,
"mat_plant_seed","plant seed","plant seed",,
"mat_mushroom","fungal spore","fungal spore",,
"mat_mushroom_giant_red","fungal spore","fungal spore",,
"mat_mushroom_giant_blue","fungal spore","fungal spore",,
"mat_bush_seed","evergreen seed","evergreen seed",,
"mat_acid","acid","acid",,
"mat_wood_player_b2","wood","wood",,
"mat_wood_player_b2_vertical","wood","wood",,
"mat_wood","wood","wood",,
"mat_fuse","bomb","bomb",,
"mat_fuse_tnt","tnt","tnt",,
"mat_fuse_holy","holy matter","holy matter",,
"mat_templebrick_box2d","brickwork","brickwork",,
"mat_wood_trailer","wood","wood",,
"mat_wood_wall","wood","wood",,
"mat_cactus","grass","grass",,
"mat_grass_loose","fungal matter","fungal matter",,
"mat_wood_prop","wood","wood",,
"mat_wood_prop_durable","tough wood","tough wood",,
"mat_nest_box2d","nest","nest",,
"mat_cocoon_box2d","cocoon","cocoon",,
"mat_wood_loose","wood","wood",,
"mat_rock_loose","rock","rock",,
"mat_ice_ceiling","ice","ice",,
"mat_brick","brick wall","brick wall",,
"mat_concrete_collapsed","collapsed concrete","collapsed concrete",,
"mat_tnt","tnt","tnt",,
"mat_trailer_text","text","text",,
"mat_meteorite","meteorite","meteorite",,
"mat_meteorite_crackable","meteorite","meteorite",,
"mat_meteorite_green","green meteorite","green meteorite",,
"mat_steel","steel","steel",,
"mat_steel_rust","rusted steel","rusted steel",,
"mat_metal_rust_rust","rusted metal","rusted metal",,
"mat_metal_rust_barrel_rust","rusted metal","rusted metal",,
"mat_plastic","plastic","plastic",,
"mat_aluminium","aluminium","aluminium",,
"mat_metal_prop","metal","metal",,
"mat_metal","metal","metal",,
"mat_rock_box2d_hard","rock","rock",,
"mat_rock_box2d_nohit","rock","rock",,
"mat_rock_box2d_nohit_hard","dense rock","dense rock",,
"mat_rock_static_box2d","rock","rock",,
"mat_rock_box2d","rock","rock",,
"mat_item_box2d","item","item",,
"mat_gem_box2d","gem","gem",,
"mat_potion_glass_box2d","glass","glass",,
"mat_glass_box2d","glass","glass",,
"mat_gem_box2d_pink","gem","gem",,
"mat_gem_box2d_red","gem","gem",,
"mat_gem_box2d_green","gem","gem",,
"mat_gem_box2d_orange","gem","gem",,
"mat_gold_box2d","gold","gold",,
"mat_metal_nohit","metal","metal",,
"mat_metal_rust","rusted metal","rusted metal",,
"mat_metal_rust_barrel","rusted metal","rusted metal",,
"mat_bone_box2d","bone","bone",,
"mat_crystal","crystal","crystal",,
"mat_crystal_purple","purple crystal","purple crystal",,
"mat_crystal_magic","crystal","crystal",,
"mat_aluminium_oxide","aluminium","aluminium",,
"mat_meat","meat","meat",,
"mat_urine","urine","urine",,
"mat_poo","excrement","excrement",,
"mat_rocket_particles","smoke","smoke",,
"mat_ice_melting_perf_killer","ice","ice",,
"mat_ice_b2","ice","ice",,
"mat_glass","glass","glass",,
"mat_neon_tube_purple","neon tube","neon tube",,
"mat_neon_tube_cyan","neon tube","neon tube",,
"mat_neon_tube_blood_red","neon tube","neon tube",,
"mat_blood_thick","blood","blood",,
"mat_snow_b2","snow","snow",,
"mat_diamond","diamond","diamond",,
"mat_meat_slime","slimy meat","slimy meat",,
"mat_concrete_sand","concrete","concrete",,
"mat_blood","blood","blood",,
"mat_blood_fading","blood","blood",,
"mat_gunpowder_explosive","gunpowder","gunpowder",,
"mat_fungi","fungus","fungus",,
"mat_plant_material","plant material","plant material",,
"mat_wood_player","wood","wood",,
"mat_wax_b2","wax","wax",,
"mat_physics_throw_material_part2","who knows","who knows",,
"mat_fire_blue","fire","fire",,
"mat_gold_b2","gold","gold",,
"mat_fungus_loose","fungus","fungus",,
"mat_sodium","sodium","sodium",,
"mat_sulphur","sulphur","sulphur",,
"mat_salt","salt","salt",,
"mat_steel_sand","steel","steel",,
"mat_slime_green","slime","slime",,
"mat_slime_pink","slime","slime",,
"mat_soil_lush","soil","soil",,
"mat_radioactive_liquid_yellow","toxic sludge","toxic sludge",,
"mat_liquid_fire","fire","fire",,
"mat_smoke_magic","smoke","smoke",,
"mat_sand_herb","herb","herb",,
"ENTIRELY NEW TEXT AFTER THIS LINE",,,,
"biome_tower","Tower","Tower",,
"biome_vault_frozen","Frozen vault","Frozen vault",,
"biome_clouds","Cloudscape","Cloudscape",,
"biome_liquidcave","Ancient laboratory","Ancient laboratory",,
"biome_secret_lab","Abandoned alchemy lab","Abandoned alchemy lab",,
"biome_weathercrystal","Crystal Chamber","Crystal Chamber",,
"mat_ice_poison_static","Frozen poison","Frozen poison",,
"mat_ice_poison_glass","Frozen poison","Frozen poison",,
"mat_ice_slime_static","Frozen slime","Frozen slime",,
"mat_ice_slime_glass","Frozen slime","Frozen slime",,
"mat_ice_blood_glass","Frozen blood","Frozen blood",,
"mat_void_liquid","Void liquid","Void liquid",,
"mat_fungi_creeping","Mystery fungus","Mystery fungus",,
"mat_purifying_powder","Purifying powder","Purifying powder",,
"mat_magic_crystal","Magical crystal","Magical crystal",,
"mat_rock_static_cursed","Cursed rock","Cursed rock",,
"mat_steelfrost_static","Frozen steel","Frozen steel",,
"mat_slush","Slush","Slush",,
"mat_poison","Poison","Poison",,
"mat_alcohol_gas","Whiskey fumes","Whiskey fumes",,
"mat_vomit","Vomit","Vomit",,
"mat_blood_fungi","fungus blood","fungus blood",,
"mat_glowshroom","glowing fungal spore","glowing fungal spore",,
"mat_fungi_trippy","weird fungus","weird fungus",,
"mat_sima","Sima","Sima",,
"mat_glass_liquidcave","Tempered glass","Tempered glass",,
"mat_templebrick_static_ruined","Ruined brick wall","Ruined brick wall",,
