"","ukr","en","NOTES – use \n for newline","max length"
"action_material_dirt","Zemlja","Dirt","",""
"actiondesc_material_dirt","Stvorjuje piŝynky zemli z ničoğo","Transmute grains of dirt from nothing","",""
"action_building_board_wood","Derev'jana forma","Wooden mold","doesn't need to be translated",""
"actiondesc_building_board_wood","Korysna dlja konstrukcij z cementu. VYMAĞAJE SONJAČNU ENERĞIJU DLJA PEREZARJADKY.","Useful for cement construction. REQUIRES SOLAR POWER TO RECHARGE.","doesn't need to be translated",""
"action_building_back_wall_rock","Zadnja stina (kam'jana)","Back wall (rock)","doesn't need to be translated",""
"actiondesc_building_back_wall_rock","Zabezpečuje pidtrymku konstrukciï. VYMAĞAJE SONJAČNU ENERĞIJU DLJA PEREZARJADKY.","Provides structural support. REQUIRES SOLAR POWER TO RECHARGE.","doesn't need to be translated",""
"action_building_pressure_plate","Natyskna plastyna","Pressure plate","doesn't need to be translated",""
"actiondesc_building_pressure_plate","ZROBYTY","TODO","doesn't need to be translated",""
"action_building_physics_templedoor","Dveri xramu","Temple door","doesn't need to be translated",""
"actiondesc_building_physics_templedoor","ZROBYTY","TODO","doesn't need to be translated",""
"action_teleport_projectile","Teleportacijnyj snarjad","Teleport bolt","",""
"actiondesc_teleport_projectile","Mağičnyj snarjad, jakyj perenosytj vas, kudy b vin ne pryzemlyvsja","A magical bolt that moves you wherever it ends up flying","",""
"action_teleport_home","Teleportacija dodomu","Teleport home","",""
"actiondesc_teleport_home","Stvorjuje portal na poverxnju, jakyj možna vykorystovuvaty odyn raz v kožnomu naprjamku","Creates a portal to the surface that can be used once per each direction","",""
"action_levitation_projectile","LEVITACIJNYJ snarjad","LEVITATION projectile","",""
"actiondesc_levitation_projectile","Levitacijna štuka","Levitation stuff","",""
"action_nuke","Jaderna bomba","Nuke","",""
"actiondesc_nuke","V ukryttja!","Take cover!","",""
"action_high_explosive","TNT","TNT","",""
"actiondesc_high_explosive","Nadzvyčajno potužnyj vybuxovyj snarjad","Extremely powerful explosive projectile","",""
"action_drone","Dron","Drone","",""
"actiondesc_drone","Potužniše kopannja","More powerful digging","",""
"action_baab_is","IS","IS","doesn't need to be translated",""
"actiondesc_baab_is","","","doesn't need to be translated",""
"action_baab_all","VSE","ALL","doesn't need to be translated",""
"actiondesc_baab_all","","","doesn't need to be translated",""
"action_baab_empty","VSE","ALL","doesn't need to be translated",""
"actiondesc_baab_empty","","","doesn't need to be translated",""
"action_baab_lava","LAVA","LAVA","doesn't need to be translated",""
"actiondesc_baab_lava","","","doesn't need to be translated",""
"action_baab_water","VODA","WATER","doesn't need to be translated",""
"actiondesc_baab_water","","","doesn't need to be translated",""
"action_baab_poop","LAJNO","POOP","doesn't need to be translated",""
"actiondesc_baab_poop","","","doesn't need to be translated",""
"action_baab_love","LJUBOV","LOVE","doesn't need to be translated",""
"actiondesc_baab_love","","","doesn't need to be translated",""
"action_firework","Fejerverky!","Fireworks!","",""
"actiondesc_firework","Voğnjanyj vybuxovyj snarjad","A fiery, explosive projectile","",""
"projectile_default","snarjad","projectile","",""
"perk_critical_hit","Krytyčnyj udar +","Critical Hit +","",""
"perkdesc_critical_hit","Vy zavdajete biljše krytyčnyx udariv","You get more critical hits","",""
"perk_breath_underwater","Pidvodne dyxannja","Breathless","",""
"perkdesc_breath_underwater","You can no longer drown, and can move in liquids with ease.","You won't drown when submerged.","",""
"perk_extra_money","Žadoba","Greed","",""
"perkdesc_extra_money","Vy otrymujete vdviči biljše zolota za samorodok.","You gain double the gold per nugget.","",""
"perk_extra_money_trick_kill","Xytra žadoba","Trick Greed","",""
"perkdesc_extra_money_trick_kill","4x zamistj 2x zolota vypadaje v razi smerti čerez neŝasnyj vypadok.","4x instead of 2x gold is dropped when death is an accident.","",""
"perk_hover_boost","Syljna levitacija","Strong Levitation","",""
"perkdesc_hover_boost","Vy možete litaty na 100% dovše.","You can fly 100% longer.","",""
"perk_movement_faster","Švydšyj rux","Faster Movement","",""
"perkdesc_movement_faster","Švydkistj ruxu zbiljšena.","Your movement speed is increased.","",""
"perk_repelling_cape","Samoočysna nakydka","Repelling Cape","",""
"perkdesc_repelling_cape","Švydke očyŝennja pljam pid čas ruxu.","Stains drop at a fast rate (when moving).","",""
"perk_exploding_corpses","Vybuxovi trupy","Exploding Corpses","",""
"perkdesc_exploding_corpses","Voroğy vybuxajutj pislja smerti.","Enemies explode upon death.","",""
"perk_saving_grace","Rjativna blağodatj","Saving Grace","",""
"perkdesc_saving_grace","Jakŝo vy pomrete z ponad 1 OZ, to zamistj smerti u vas zalyšytjsja 1 OZ.","If you would die and have more than 1 HP, your HP is set to 1 instead.","",""
"perk_invisibility","Nevydymistj","Invisibility","",""
"perkdesc_invisibility","Vy nevydymi. Pljamy, zaklynannja, kopnjaky ta poškodžennja robljatj vas tymčasovo vydymymy.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.","",""
"perk_global_gore","Biljše krovi","More Blood","",""
"perkdesc_global_gore","Krov, krov, krov!","Blood blood blood.","",""
"perk_no_damage_flash","Bez spalaxiv pislja otrymannja škody","No Damage Flash","",""
"perkdesc_no_damage_flash","Bilj nemynuča, ale spalax pislja poškodžennjax ne obov'jazkovyj.","Pain is inevitable, but damage flash is optional.","",""
"perk_reverse_slowdown","Slyzjkyj slyz","Slicky Slime","",""
"perkdesc_reverse_slowdown","Zamistj spoviljnennja, slyz dozvoljaje vam ruxatysja švydše.","Instead of slowing you down, slime allows you to move faster.","",""
"perk_extra_hp","Biljše zdorov'ja (odnomomentne)","Extra Health","",""
"perkdesc_extra_hp","Vy otrymujete 50% dodatkovoğo maksymaljnoğo zdorov’ja.","You gain 50% extra maximum health.","",""
"perk_glass_cannon","Skljana ğarmata","Glass Cannon","",""
"perkdesc_glass_cannon","Vaši zaklynannja u 5 raziv potužniši, ale vaše maksymaljne zdorov'ja staje 50 i ne može buty zbiljšeno normaljnymy sercjamy.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.","",""
"perk_respawn","Dodatkove žyttja (odnomomentno)","Extra Life (One-off)","",""
"perkdesc_respawn","Pry smerti vy vidrodytesja zi 100 OZ.","Upon death you respawn with 100 health.","",""
"perk_protection_fire","Voğnestijkistj","Fire Immunity","",""
"perkdesc_protection_fire","Vy ne otrymujete škody vid voğnju.","You take no damage from fire.","",""
"perk_protection_radioactivity","Imunitet do toksyniv","Toxic Sludge Immunity","",""
"perkdesc_protection_radioactivity","Vy ne otrymujete škody vid toksyčnoğo osadu ta inšyx toksyčnyx rečej.","You take no damage from toxic sludge.","",""
"perk_protection_explosion","Vybuxostijkistj","Explosion Immunity","",""
"perkdesc_protection_explosion","Vy ne otrymujete prjamoï škody vid vybuxiv.","You take no direct damage from explosions.","",""
"perk_protection_melee","Stijkistj do blyžnjoğo boju","Melee Immunity","",""
"perkdesc_protection_melee","Vy ne otrymujete škody vid atak blyžnjoğo boju.","You take no damage from close-range enemy attacks.","",""
"perk_protection_electricity","Nevrazlyvistj do elektryky","Electricity Immunity","",""
"perkdesc_protection_electricity","Vy ne otrymujete škody vid elektryčnyx rozrjadiv.","You take no damage from electric shocks.","",""
"perk_teleportitis","Teleportozys","Teleportitis","",""
"perkdesc_teleportitis","Vy otrymujete na 20% menše škody, ale vy teleportujetesja pislja kožnoï otrymanoï škody.","You take 20% less damage. You teleport away every time you're hurt.","",""
"perk_stainless_armour","Neržavijuča bronja","Stainless Armour","",""
"perkdesc_stainless_armour","Vy otrymujete na 50% menše škody, poky vaš odjağ čystyj.","You take 50% less damage as long as you have no active stain status effect.","",""
"perk_edit_wands_everywhere","Redağuvannja bez kordoniv","Tinker With Wands Everywhere","",""
"perkdesc_edit_wands_everywhere","Božestvenne blağoslovennja dozvoljaje vam redağuvaty palyčky budj-de.","A divine blessing allows you to tinker with wands everywhere.","",""
"perk_projectile_homing","Samonavidni postrily","Homing Shots","",""
"perkdesc_projectile_homing","Vaši zaklynannja zovsim troxy navodjatjsja na voroğiv.","Your spells home towards enemies very slightly.","",""
"perk_freeze_field","Morozne pole","Freeze Field","",""
"perkdesc_freeze_field","Ridyny zamerzajutj u vašij prysutnosti.","Liquids freeze in your presence.","",""
"perk_dissolve_powders","Rozčynennja poroškiv","Dissolve Powders","",""
"perkdesc_dissolve_powders","Pisok ta inši m'jaki, sypuči materialy švydko znykajutj u vašij prysutnosti.","Sand and other soft, powdery materials dissolve quickly in your presence.","",""
"perk_bleed_slime","Krov zi slyzu","Slime Blood","",""
"perk_shield","Postijnyj ŝyt","Permanent Shield","",""
"perkdesc_shield","Vy otrymujete nevelykyj postijnyj ŝyt.","You gain a small, permanent shield.","",""
"perk_revenge_explosion","Vybux pomsty","Revenge Explosion","",""
"perkdesc_revenge_explosion","Vy vypuskajete mağičnyj vybux pry otrymanni škody ta otrymujete 25% oporu škodi vid vybuxiv.","When you take damage, you release a magical explosion that hurts enemies around you.","",""
"perk_electricity","Naelektryzovanistj","Electricity","",""
"perkdesc_electricity","Vy ne vrazlyvi do elektryčnoï škody, ale metaly ta ridyny navkolo vas postijno elektryfikujutjsja. Budjte oberežnymy!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!","",""
"perk_mystery_eggplant","Tajemnyčyj baklažan","Mystery Eggplant","",""
"perkdesc_mystery_eggplant","Leğko lamajetjsja.","It breaks easily.","",""
"perk_double_hp","Podvijne zdorov'ja, bez reğeneraciï","Double Health, No Regeneration","",""
"perkdesc_double_hp","Vaše maksymaljne OZ podvojujetjsja, ale vy otrymujete na 20% biljše poškodženj vid snarjadiv.","Your maximum HP is doubled, but you take 20% more damage from projectiles.","",""
"perk_berserk","Ljutj","Berserk","",""
"perkdesc_berserk","Čym menše OZ vy majete, tym biljše škody zavdajutj vaši zaklynannja, do +300% škody.","The less HP you have, the more damage your spells deal, up to +300% extra damage.","",""
"perk_shuffle_wands","Peretasuvannja palyčok","Shuffle Wands","",""
"perkdesc_shuffle_wands","Usi vaši palyčky zaminjuutjsja na vypadkovi palyčky pryblyzno vidpovidnoï potužnosti.","All your wands are replaced with random wands of approximately equal power.","",""
"perk_heavy_ammo","Važki bojeprypasy","Heavy Ammo","",""
"perkdesc_heavy_ammo","Vy otrymujete vybir z 2 potužnyx zaklynanj.","You gain a selection of 2 powerful spells.","",""
"perk_liquid_movement","Peresuvannja ridynamy","Liquid Movement","",""
"perkdesc_liquid_movement","Ridyny nijak ne vplyvajutj na vaš rux.","Liquids don't affect your movement at all.","",""
"perk_faster_swimming","Švydše plavannja","Faster Swimming","",""
"perkdesc_faster_swimming","Vy plavajete švydše.","You swim faster.","",""
"perk_extra_shop_item","Dodatkovyj predmet u Svjatij ğori","Extra Item In Holy Mountain","",""
"perkdesc_extra_shop_item","U kožnij nedoslidženij Svjatij ğori bude dodatkovyj predmet.","There will be an additional item in every Holy Mountain you haven't discovered yet.","",""
"perk_poison_burn","Pidpal otruty","Burning Poison","",""
"perkdesc_poison_burn","Vaši snarjady majutj šans pidpalyty otrujenyx voroğiv.","Your projectiles have a chance to ignite poisoned enemies.","",""
"perk_low_gravity","Nyzjka ğravitacija","Low Gravity","",""
"perkdesc_low_gravity","Vsi stvorinnja, vključno z vamy, otrymujutj sobi nyžču sylu tjažinnja.","Your movement is floatier and you can jump and fly higher.","",""
"perk_destruction_enhancement","Posylennja rujnuvannja","Destruction Enhancement","",""
"perkdesc_destruction_enchancement","Vy možete efektyvniše rujnuvaty navkolyšnje seredovyŝe.","You can destroy the environment more effectively.","",""
"perk_damaging_aura","Zğubna aura","Damaging Aura","",""
"perkdesc_damaging_aura","Vaši zaklynannja zavdajutj škody voroğam poblyzu, navitj jakŝo ne vlučajutj u nyx.","Your spells damage nearby enemies even if they don't hit them.","",""
"perk_thunder_kick","Ğromovyj kopnjak","Thunder Kick","",""
"perkdesc_thunder_kick","Vaši kopnjaky myttjevo vbyvajutj biljšistj voroğiv ta ŝe dali štovxajutj ob'jekty.","Your kicks instantly kill most foes, and push objects more.","",""
"perk_vision","Kraŝyj zir","Better Vision","",""
"perkdesc_vision","Vy možete bačyty biljše v temrjavi.","You can see more into the darkness.","",""
"perk_telepathic_vision","Telepatyčna prysutnistj","Telepathic Presence","",""
"perkdesc_telepathic_vision","Temrjavy biljše nemaje, ale voroğy zavždy znajutj, de vy.","Darkness is no more, but enemies always know where you are.","",""
"perk_no_more_knockback","Nijakoğo vidštovxuvannja","No More Knockback","",""
"perkdesc_no_more_knockback","Voroğy biljše ne možutj zrušyty vas z miscja.","Enemies can no longer knock you back.","",""
"perk_knockback_control","Kerovane vidštovxuvannja","Controllable Knockback","",""
"perkdesc_knockback_control","Vy zberiğajete keruvannja, jakŝo vas vidštovxnuly.","You can steer while being knocked back.","",""
"perk_roll_again","Tasuvannja","Roll Again","",""
"perkdesc_roll_again","Vy otrymujete novyj nabir zdibnostej na vybir.","You get a new set of perks to choose from.","",""
"perk_reveal_secrets","Rozkryti tajemnyci","Reveal Secrets","",""
"perkdesc_reveal_secrets","Skryni, sercja ta inši predmety sjajutj čerez temrjavu.","Chests, hearts and other items shine through darkness.","",""
"perk_potion_drop","Vybyvannja zillja","Potion Drop","",""
"perkdesc_potion_drop","Voroğy majutj šans zalyšyty vypadkove zillja pislja smerti.","Enemies have a chance of dropping a random potion upon death.","",""
"perk_mystery_egg","Tajemnyče jajce","Mystery Egg","",""
"perkdesc_mystery_egg","Z njoğo može ŝosj vylupytysj!","Something may hatch from it!","",""
"perk_gold_no_disappear_while_seen","Zolote oko","Golden I","",""
"perkdesc_gold_no_disappear_while_seen","Zoloto ne znykne, do poky vy joğo bačyte.","Gold doesn't disappear as long as it can be seen.","",""
"perk_mana_discount","Znyžka na manu","Mana Discount","",""
"perkdesc_mana_discount","Usi zaklynannja vytračajutj na 50% menše many.","All spells cost 50% less mana.","",""
"perk_juggernaut","Zaklynannja džagernauta","Juggernaut Spells","",""
"perkdesc_juggernaut","Vaši zaklynannja zavdajutj na 30% biljše škody, ale na 30% poviljniše letjatj.","Your projectiles deal 30% more damage, but are 30% slower.","",""
"perk_big_potions","Velyki fljağy","Big Potions","",""
"perkdesc_big_potions","Fljağy, ŝo vy znaxodyte mistjatj vdviči biljše ridyny.","Potions you find contain double the liquid.","",""
"perk_extra_charges","Dodatkovi zarjady","Extra Charges","",""
"perkdesc_extra_charges","Zaklynannja z obmeženymy vykorystannjamy možutj buty vykorystani vdviči biljše raziv.","Spells with limited uses can be used twice as many times.","",""
"perk_fast_projectiles","Švydši snarjady","Fast Projectiles","",""
"perkdesc_fast_projectiles","Vaši zaklynannja-snarjady letitj švydše, niž raniše.","All projectiles fly at double speed.","",""
"perk_deadly_environment","Smerteljne seredovyŝe","Deadly Environment","",""
