"","ukr","en","","","NOTES – use \n for newline","max length"
"mat_sand_static_red","Іржавий ґрунт","rusty ground","","","",""
"mat_nest_static","Гніздо","nest","","","",""
"mat_bluefungi_static","Синій гриб","blue fungus","","","",""
"mat_cheese_static","Сир","cheese","","","",""
"mat_rock_static","Камінь","rock","","","",""
"mat_rock_static_intro","Камінь","rock","","","",""
"mat_water_static","Вода","Water","","","",""
"mat_endslime_static","Пекельний слиз","hell slime","","","",""
"mat_slime_static","Слиз","slime","","","",""
"mat_rock_hard","Щільний камінь","dense rock","","","",""
"mat_rock_static_noedge","Камінь","rock","","","",""
"mat_rock_hard_border","Надзвичайно щільний камінь","extremely dense rock","","","",""
"mat_rock_magic_gate","Магічна брама","magic gate","","","",""
"mat_rock_magic_bottom","магічна стіна","magic wall","","","",""
"mat_rock_eroding","eroding rock","eroding rock","","","",""
"mat_rock_vault","Камінь сховища","vault rock","","","",""
"mat_coal_static","Вугільна жила","coal vein","","","",""
"mat_rock_static_grey","Сірий камінь","grey rock","","","",""
"mat_rock_static_radioactive","Токсичний камінь","toxic rock","","","",""
"mat_rock_static_poison","отруйний камінь","poisonous rock","","","",""
"mat_skullrock","Пекельний камінь","hell rock","","","",""
"mat_rock_static_wet","Вологий камінь","damp rock","","","",""
"mat_lavarock_static","вулканічний камінь","volcanic rock","","","",""
"mat_lava","Лава","lava","","","",""
"mat_meteorite_static","Метеорит","meteorite","","","",""
"mat_templerock_static","Цегляна кладка","brickwork","","","",""
"mat_templebrick_static","Цегляна кладка","brickwork","","","",""
"mat_templebrick_noedge_static","Цегляна кладка","brickwork","","","",""
"mat_templebrick_thick_static","Цегляна кладка","brickwork","","","",""
"mat_templebrickdark_static","Цегляна кладка","brickwork","","","",""
"mat_templeslab_static","Цегляна кладка","brickwork","","","",""
"mat_templeslab_crumbling_static","Цегляна кладка","brickwork","","","",""
"mat_glowstone","Сяючий камінь","glowing stone","","","",""
"mat_glowstone_altar","Сяючий камінь","glowing stone","","","",""
"mat_glowstone_potion","Сяючий камінь","glowing stone","","","",""
"mat_templebrick_red","Цегляна кладка","brickwork","","","",""
"mat_templebrick_moss_static","Замшіла цегляна кладка","mossy brickwork","","","",""
"mat_the_end","Пекельний камінь","hell rock","","","",""
"mat_steel_static","Сталь","steel","","","",""
"mat_steelmoss_static","Замшіла сталь","mossy steel","","","",""
"mat_steelmoss_slanted","Замшіла сталь","mossy steel","","","",""
"mat_steelsmoke_static","smoking steel","smoking steel","","","",""
"mat_steelpipe_static","Металева труба","metal pipe","","","",""
"mat_steel_static_strong","Щільна сталь","dense steel","","","",""
"mat_steel_static_unmeltable","Загартована сталь","hardened steel","","","",""
"mat_rock_static_glow","Сяюча матерія","glowing matter","","","",""
"mat_snow_static","Пресований сніг","packed snow","","","",""
"mat_ice_static","Лід","ice","","","",""
"mat_rock_static_intro_breakable","Камінь","rock","","","",""
"mat_ice_blood_static","Заморожена кров","frozen blood","","","",""
"mat_ice_acid_static","Заморожена кислота","frozen acid","","","",""
"mat_ice_cold_static","Лід","ice","","","",""
"mat_ice_radioactive_static","Токсичний лід","toxic ice","","","",""
"mat_ice_meteor_static","Лід","ice","","","",""
"mat_tubematerial","Неонова труба","neon tube","","","",""
"mat_glass_static","Скло","glass","","","",""
"mat_waterrock","Камінь","rock","","","",""
"mat_ice_glass","Лід","ice","","","",""
"mat_tube_physics","Неонова труба","neon tube","","","",""
"mat_ice_acid_glass","Заморожена кислота","frozen acid","","","",""
"mat_ice_cold_glass","Лід","ice","","","",""
"mat_ice_radioactive_glass","Токсичний лід","toxic ice","","","",""
"mat_ice_glass_b2","Лід","ice","","","",""
"mat_glass_brittle","Крихке скло","brittle glass","","","",""
"mat_snowrock_static","Заморожений камінь","frozen rock","","","",""
"mat_concrete_static","Бетон","concrete","","","",""
"mat_wood_static","Деревина","wood","","","",""
"mat_wood_static_wet","Волога деревина","damp wood","","","",""
"mat_creepy_liquid_emitter","Цегляна стіна","brick wall","","","",""
"mat_gold_static","Золота жила","gold vein","","","",""
"mat_gold_static_dark","Вібруюча золота жила","vibrant gold vein","","","",""
"mat_wood_static_vertical","Деревина","wood","","","",""
